,contexte_gauche,mention,contexte_droit,procédé_de_nommage,cible_mention,polarité_mention,positionnement_mention,cible_contexte,temporalité,polarité_contexte,positionnement_contexte,
1816,Why should anyof this matter when the city has,La Défense,"? The area  beyond the capital's western border, has for years acted as Paris's safety valve for office space",norme,NA,NA,NA,NA,NA,NA,NA,
1817,of this matter when the city has La Défense?,The area," beyond the capital's western border, has for years acted as Paris's safety valve for office space",type lieu ,taille,neutre,pris en charge ,urbanisme,présent,neutre,pris en charge,
1818,for office space andit is now,Europe's largest business district,.,type lieu/référence géographique/classement,taille/économie/localisation,positif,pris en charge,économie,présent ,neutre,pris en charge,
1819,"""we will be able to move very quickly for very significant targets if opportunities come up"", he says in his office in",La Défense,,norme,NA,NA,NA,NA,NA,NA,NA,
1820,"he says inhis office in La Défense,",the Paris business district,. 		 ,type lieu/référence géographique,économie/localisation,neutre,pris en charge,NA,NA,NA,NA,
1821,"                On a rainy June morning in Paris, five dozen men and women gathered in a basement in ",La Défense,", the city's financial district.",norme,NA,NA,NA,événement,présent,neutre,pris en charge,
1822,"                On a rainy June morning in Paris, five dozen men and women gathered in a basement in La Défense, ",the city's financial district,,type lieu/référence géographique ,économie/localisation,neutre,pris en charge,événement,présent,neutre,pris en charge,
1823,"Christie's International Real Estate is marketing a six-bedroom villa next to the Vondelpark for €11.75m.                  New areas such as Zuidas, a financial district comparable with London's Canary Wharf or ",La Défense," in Paris, are also becoming more popular.                  ",norme,NA,NA,NA,NA,NA,NA,NA,
1824,"for 2,000 people in",the central business district of a European city,", they would currently find eight options in Paris, all in La Défense in the west central area of the city, according to Savills research.                  ",type lieu/référence géographique,économie/localisation,neutre,pris en charge,économie,présent,neutre,pris en charge,
1825,"for 2,000 people inthe central business district of a European city,",they," would currently find eight options in Paris, all in La Défense in the west central area of the city, according to Savills research.                  ",,,,,économie,présent,neutre,cité,
1826,"for 2,000 people inthe central business district of a European city, they would currently find eight options in Paris, all in",La Défense in the west central area of the city,", according to Savills research.                  ",référence géographique,localisation,neutre,pris en charge,économie,présent,neutre,cité,
1828,"The Abu Dhabi Investment Authority, the world'ssecond-largest sovereign wealth fund, acquired the planned Tour Alto office development in",Paris's La Défense business district," in February, a sign of continued activity in the market.                  ",type lieu/référence géographique,économie,neutre,pris en charge,immobilier,présent,neutre,pris en charge,
1829,"They said this came ""inthe context of the Brexit vote"".                  ",Paris's La Défense business district,this month unveiled an advertising campaign ,type lieu/référence géographique,économie,neutre,pris en charge,événement,présent,neutre,cité,
1830,has plenty to offer bankers.,La Défense,is home to outposts of most of the big global banks;,norme,NA,NA,NA,économie,présent,positif,pris en charge,
1831,"for the French capital to attract international banks and other financial institutions but there is a dearth of high-quality, centrally located office space.If the big banks do decide to move to Paris, they may have to get used to the idea of being in",La Défense, or other areas outside the capital's city limits.                  ,norme,NA,NA,NA,économie ,présent ,neutre,pris en charge,
1832,"us to believe that, considering their armaments, the structured organisation and their determination, they were ready to act"".                  The jihadis were set to carry out a second attack after Friday's massacre, this time targeting Charles de Gaulle airport and ",the city's financial district," La Defense, according to reports.                  ",type lieu/référence géographique,localisation/économie,neutre,pris en charge,événement,présent,neutre,cité,
1833,"us to believe that, considering their armaments, the structured organisation and their determination, they were ready to act"".                  The jihadis were set to carry out a second attack after Friday's massacre, this time targeting Charles de Gaulle airport and the city's financial district ",La Defense,", according to reports.                  ",norme,NA,NA,NA,événement,présent,neutre,cité,
1835,"break you can see iconic sights and visit some of the most popular areas, along with the chance to see the oldest traditional cabaret in the world, held in a National Landmark Theatre.With accommodation in the heart of",Paris' La Defense area,", not far from the Champs-Elysees and the Arc de Triomphe, this is a great way to discover",type lieu/référence géographique,économie,neutre,pris en charge,tourisme,présent,positif,pris en charge,
1838,"""                  French police saidthe gang had been planning to attack the airport and the Quatre Temps shopping centre in ",the La Defense business district,,type lieu,économie,neutre,pris en charge,événement,présent,neutre,cité ,
1839,A Montmartre B,La Defense,C Montparnasse D,norme,NA,NA,NA,NA,NA,NA,NA,
1840,endlessly along main drags.(One is already being trialled at,La Défense,", the business district.",norme,NA,NA,NA,événement,passé,neutre,pris en charge,
1841,"endlessly along main drags.(One is already being trialled at La Défense,",the business district,,type lieu,économie,neutre,pris en charge,événement,passé ,neutre ,pris en charge,
1842,will build sevenskyscrapers in,its business district,as part of an aggressive campaign to lure financial,type lieu,économie,neutre,pris en charge,urbanisme,futur,neutre,pris en charge,
1843,"La Défense, the body responsible for managing",the financial hub in western Paris,", said yesterday that it wanted to send a ""powerful message",type lieu/référence géographique,économie,neutre,pris en charge,économie,présent,neutre,cité,
1844,                Sephora's ,La Défense,branch in Paris,norme,NA,NA,NA,NA,NA,NA,NA,
1845,at the FT conference near Tower Bridge.Then back to Paris to see Paul McCartney's gig in,La Défense,.,norme,NA,NA,NA,événement,présent,neutre,pris en charge,
1846,up the quaint trappings of historic Parisfor the gleaming practicality of its towers in,La Défense,", the French capital's modern business district.                  ",norme,NA,NA,NA,urbanisme,présent,positif,pris en charge,
1847,"up the quaint trappings of historic Parisfor the gleaming practicality of its towers in La Défense,",the French capital's modern business district,. 		 ,type lieu/référence géographique,économie/localisation,neutre,pris en charge,immobilier,présent,neutre,pris en charge,
1848,of this fascinationon the skyline came during a wave of construction in,the La Défense business district,"in the late 1980s, notably Kisho Kurokawa's Pacific Tower with its Zen-ish",type lieu,économie/localisation,neutre,pris en charge,urbanisme,passé,positif,pris en charge,
1852,"Last weekSephora reopened its second-largest store in France, in",the Paris business district of La Défense,", after a major renovation.",type lieu/référence géographique,économie/localisation,neutre,pris en charge,événement,passé,neutre,pris en charge,
1853,"""We were able to increase the number of school places in Paris by 1,000 to close to 11,500,"" said Charline Avenel, who administers four major school districts around Paris, including Versailles.                  ""The planning began two years ago, after the referendum,"" said Ms Avenel, pointing to a new school with an international section opening at Courbevoie near ",the business district of La Défense, that has guaranteed school places to the European Banking Authority's staff as it moves from London to Paris.                  ,type lieu,économie,neutre,pris en charge,administration politique,passé,neutre,cité,
1854,"""We were able to increase the number of school places in Paris by 1,000 to close to 11,500,"" said Charline Avenel, who administers four major school districts around Paris, including Versailles.                  ""The planning began two years ago, after the referendum,"" said Ms Avenel, pointing to a new school with an international section opening at Courbevoie near the business district of La Défense that has guaranteed school places to the European Banking Authority's staff as it moves from London to Paris.                  ",Prime office space in the centre of Paris,,type lieu/référence géographique,économie/localisation,positif,pris en charge,administration politique,présent,neutre,pris en charge,
1855,Nanterre,La Defense,. 		 ,norme,NA,NA,NA,NA,NA,NA,NA,
1856,                It's lunchtime in ,La Défense business district in Paris,and the Sephora store is full of shoppers browsing through its,type lieu/référence géographique,économie/localisation,neutre,pris en charge,quotidien,présent,neutre,pris en charge,
1858,"TimesSquare and Dubai Mall in the Middle East, Sephora in",La Défense,has recently reopened after an extensive refurbishment,norme,NA,NA,NA,événement,présent,neutre,pris en charge,
1859,"But despite such technological developments, for Mr de Lapuente, the store has a robust future.                   At ",La Défense,", customers are returning to work with",norme,NA,NA,NA,événement,présent,positif,cité ,
1860,"That is a U-turn from even a few months ago, when City financiers were as dismissive of Paris's merits as they were of the tortured advertising sloganfor",its La Défense business district," (""Tired of the fog?",type lieu,économie,neutre,pris en charge ,économie,présent,positif,pris en charge,
1861,Try the Frogs!Choose,Paris La Défense,""").                  ",référence géographique,localisation,neutre,pris en charge,économie,présent,positif,pris en charge,
1862,to enjoy and our escorted tour by rail shows you some of the most iconic sights and areas.With accommodation in the heart of,Paris' La Defense area,", not far from the Arc de Triomphe and the Champs Elysees, it's a great way to discover the 'city of light'.",type lieu/référence géographique,localisation/urbanisme,neutre,pris en charge,tourisme,présent,positif,pris en charge,
1863,planned attack on,Paris business district - sources,,type lieu/référence géographique,localisation/économie,neutre,pris en charge,événement,présent,neutre,cité ,
1864,- Suspected Islamist militants flushed out of a Paris suburb by police in a shootout on Wednesday were planning to attack,the French capital's La Defense business district,", three sources told Reuters.                  ",type lieu/référence géographique,localisation/économie,neutre,pris en charge,événement,présent,neutre,cité,
1865,A source close to the investigation source said the attack was being preparedfor Thursday in,the district that is home to some of France's biggest companies such as the oil major Total and the main trading room of Societe Generale bank,,type lieu/référence géographique,économie,positif,pris en charge,événement,présent,neutre,cité ,
1867,sources saidthe targets were the Quatre Temps shopping centre and the main square of,the district of high-rise office buildings on the western edge of Paris,,type lieu/référence géographique,économie/architecture,positif,pris en charge,événement,présent,neutre,cité ,
1868,"the source close to the investigation.                  ""This new team was planning an attack on ",La Defense,",""",norme,NA,NA,NA,événement,présent,neutre,cité ,
1869,they came across another thing- a team that was preparing to attack,La Defense,.,norme,NA,NA,NA,événement,présent,neutre,pris en charge,
1870,The police sources indicated that Paris had received a tip about the planned,La Defense,attack,norme,NA,NA,NA,événement,présent,neutre,cité ,
1871,Wharf to closing a business deal in,La Defense, on a Phenom 300 in 1.5 hours*.                  ,norme,NA,NA,NA,NA,NA,NA,NA,
1872,-Le BourgetAirport to,La Defense,. 		 ,norme,NA,NA,NA,NA,NA,NA,NA,
1873,will build seven new skyscrapers in,its business district,as part of an aggressive campaign to lure financial,type lieu,économie,neutre,pris en charge,urbanisme,présent,neutre,pris en charge,
1874,"La Défense, the body responsible for managing",the financial hub in western Paris,", said that they wanted to send a ""powerful message",type lieu/référence géographique,économie,neutre,pris en charge,économie,présent,neutre,pris en charge,
1875,"They said this came ""inthe context of the Brexit vote"".                  ",Paris's La Défense business district,"late last year unveiled an advertising campaign aimed at capitalising on the uncertainty created by the Brexit vote, with the slogan:",type lieu/référence géographique,économie/localisation,neutre,pris en charge,économie,présent,neutre,cité ,
1876,to enjoy and our escorted tour by rail shows you some of the most iconic sights and areas.With accommodation in the heart of,Paris' La Defense area,", not far from the Arc de Triomphe and the Champs Elysees, it's a great way to discover the 'city of light'. 		 ",type lieu/référence géographique,localisation,neutre,pris en charge,tourisme,présent,neutre,pris en charge,
1877,                (Adds details of ,La Defense," plot, victims of Paris attacks identified)                  *",norme,NA,NA,NA,événement,présent,neutre,pris en charge,
1878,Investigators seeking alleged mastermind of Paris attacks                  * Group wereplanning to attack ,business district, -sources		,type lieu,économie,neutre,pris en charge,événement ,présent,neutre ,cité ,
1879,had been planning an attack on,Paris's business district,",",type lieu/référence géographique,économie/localisation,neutre,pris en charge,événement,présent,neutre,pris en charge,
1880,"Paris's business district,",La Defense,", after coordinated bombings and shootings killed 129 across the city.                  ",norme,NA,NA,NA,événement ,passé ,neutre,pris en charge,
1881,"Reuters that the St. Denis cell was planning a fresh attack.""This new team was planning an attack on ",La Defense,","" one source said, referring to a high-rise neighbourhood on the outskirts of Paris that is home to top banks and businesses. 		 ",norme,NA,NA,NA,événement,présent,neutre,cité ,
1882,"Reuters that the St. Denis cell was planning a fresh attack.""This new team was planning an attack on La Defense,"" one source said, referring to ",a high-rise neighbourhood on the outskirts of Paris that is home to top banks and businesses,,type lieu/référence géographique,économie/architecture/localisation,positif,pris en charge,événement,présent,neutre,cité ,
1883,"Les Diamants 41, rue Delizy, 93692 Pantin Cedex, France 		 (7) College of Arts and Social Sciences, Australian National University, Canberra ACT 2601, Australia 		 (8) Universite de Paris Nanterre",La Defense,", UMR 7055 Prehistoire et Technologie, 21 allee de l'Universite, 92023 Nanterre, France 		 (9)",norme,NA,NA,NA,,,,,
1885,"De Mallet Morgan: the street, which branches off from the Arc de Triomphe, contains some of the largest homes to be found in any European city, he says.The 16th arrondissement adjoins the Bois de Boulogne and is close to",La Défense,", Paris's business district.",norme,NA,NA,NA,,,,,
1886,"De Mallet Morgan: the street, which branches off from the Arc de Triomphe, contains some of the largest homes to be found in any European city, he says.The 16th arrondissement adjoins the Bois de Boulogne and is close to La Défense,",Paris's business district,.,type lieu/référence géographique,économie/localisation,neutre,pris en charge,NA,NA,NA,NA,
1887,workers favouringthe short commute to,La Défense,- are shopping for two or three,norme,NA,NA,NA,NA,NA,NA,NA,
1888,"- Place du Champ de Mars 5, B-1050Bruxelles - 1, Passerelle des Reflets,",Paris-La Defense,"2, F-92919 La Defense Cedex",référence géographique,localisation,neutre,pris en charge,,,,,
1889,"- Place du Champ de Mars 5, B-1050Bruxelles - 1, Passerelle des Reflets,",Paris-La Defense,"2, F-92919 La Defense Cedex 3 fair",référence géographique,localisation,neutre,pris en charge,NA,NA,NA,NA,
1890,"- Place du Champ de Mars 5, B-1050Bruxelles - 1, Passerelle des Reflets,",Paris-La Defense," 2, F-92919 La Defense Cedex 4		 B. Strengthening",référence géographique,localisation,neutre,pris en charge,NA,NA,NA,NA,
1891,"- Place du Champ de Mars 5, B-1050Bruxelles - 1, Passerelle des Reflets,",Paris-La Defense," 2, F-92919 La Defense Cedex 5 		 B",référence géographique,localisation,neutre,pris en charge,NA,NA,NA,NA,
1892,"Bruxelles - 1, Passerelle des Reflets, Paris-La Defense 2,",F-92919 La Defense Cedex 5, 		 B,norme, NA,NA,NA,NA,NA,NA,NA,
1893,"- Place du Champ de Mars 5, B-1050Bruxelles - 1, Passerelle des Reflets,",Paris-La Defense," 2, F-92919 La Defense Cedex 6                  Recurring elements                  ",référence géographique,localisation,neutre,pris en charge,NA,NA,NA,NA,
1894,"Bruxelles - 1, Passerelle des Reflets, Paris-La Defense 2, F-92919",La Defense Cedex, 6                  Recurring elements                  ,norme,NA,NA,NA,NA,NA,NA,NA,
1895,"- Place du Champ de Mars 5, B-1050Bruxelles - 1, Passerelle des Reflets,",Paris-La Defense," 2, F-92919 La Defense Cedex 7 		 ",référence géographique,localisation,neutre,pris en charge,NA,NA,NA,NA,
1896,"- Place du Champ de Mars 5, B-1050Bruxelles - 1, Passerelle des Reflets,",Paris-La Defense,"2, F-92919 La Defense Cedex 8",référence géographique,localisation,neutre,pris en charge,NA,NA,NA,NA,
1897,"Bruxelles - 1, Passerelle des Reflets, Paris-La Defense 2, F-92919",La Defense,Cedex 8,norme,NA,NA,NA,NA,NA,NA,NA,
1898,"- Place du Champ de Mars 5, B-1050Bruxelles - 1, Passerelle des Reflets,",Paris-La Defense,"2, F-92919 La Defense Cedex 9 As at 30 June 2019, the Dexia Group had a liquidity reserve of EUR",référence géographique,localisation,neutre,pris en charge,NA,NA,NA,NA,
1899,"Bruxelles - 1, Passerelle des Reflets, Paris-La Defense 2, F-92919",La Defense,"Cedex 9 As at 30 June 2019, the Dexia Group had a liquidity reserve of EUR",norme,NA,NA,NA,NA,NA,NA,NA,
1900,"- Place du Champ de Mars 5, B-1050Bruxelles - 1, Passerelle des Reflets,",Paris-La Defense," 2, F-92919 La Defense Cedex 10		 ",référence géographique,localisation,neutre,pris en charge,NA,NA,NA,NA,
1901,"- Place du Champ de Mars 5, B-1050Bruxelles - 1, Passerelle des Reflets,",Paris-La Defense,"2, F-92919 La Defense Cedex 11",référence géographique,localisation,neutre,pris en charge,NA,NA,NA,NA,
1902,"- Place du Champ de Mars 5, B-1050Bruxelles - 1, Passerelle des Reflets,",Paris-La Defense," 2, F-92919 La Defense Cedex 12                 Appendix 3 - Balance sheet key figures (non-audited figures)                  Balance sheet key figures                  (in EUR million) 30-06-2018 31-12-2018 30-06-2019                  Total assets 168,340",référence géographique	,localisation,neutre,pris en charge,NA,NA,NA,NA,
1903,"- Place du Champ de Mars 5, B-1050Bruxelles - 1, Passerelle des Reflets,",Paris-La Defense,"2, F-92919 La Defense Cedex 13 Appendix",référence géographique,localisation,neutre,pris en charge ,NA,NA,NA,NA,
1904,"- Place du Champ de Mars 5, B-1050Bruxelles - 1, Passerelle des Reflets,",Paris-La Defense," 2, F-92919 La Defense Cedex 14                  Exposure by category of counterparty                  31-12-2018 30-06-2019                  (in EUR million)                  Total o/w discontinued                  operations (DKD)                  o/w continuing                  ",référence géographique,localisation,neutre,pris en charge,NA,NA,NA,NA,
1905,"- Place du Champ de Mars 5, B-1050Bruxelles - 1, Passerelle des Reflets,",Paris-La Defense," 2, F-92919 La Defense Cedex 15		 ",référence géographique ,localisation,neutre,pris en charge,NA,NA,NA,NA,
1906,"Saint-Gobain certainly does not feel like a company on the defensive.It moves into new, glossier headquarters in",the La Défense business district, next year. 		 ,type lieu,économie ,neutre,pris en charge,immobilier,futur,positif,pris en charge,
1908,its capital.The imposing Grande Arche at,La Défense,", the Grand Palais, the Pyramid at the Louvre, and the Eiffel Tower in central Paris can all thank Saint-Gobain for their glass façades, floors and ceilings.                  ",norme,NA,NA,NA,NA,NA,NA,NA,
1909,Nanterre,La Défense,.,norme,NA,NA,NA,NA,NA,NA,NA,
1910,Nanterre,La Défense," and Anne-Laure Delatte of the French National Centre for Scientific Research (CNRS), call for Mr Villeroy de Galhau's appointment to be blocked.                ",norme,NA,NA,NA,NA,NA,NA,NA,
1911,"NanterreLa Défense and Anne-Laure Delatte of the French National Centre for Scientific Research (CNRS), call for Mr Villeroy de Galhau's appointment to be blocked.                ",They,claim that while,,,,,,,,,
1912, had been planning to launch another attack with an unidentified accomplice on,Paris's La Défense district, on November 18 or 19.                  ,référence géographique/type lieu,localisation,neutre,pris en charge,événement,passé,neutre,pris en charge,
1913,with 120 students.The MBA is taught on the school's second campus in,Paris La Défense,,référence géographique,localisation,neutre,pris en charge,quotidien,présent,positif,pris en charge,
1914,A new EMBAcourse at Iéseg in,Paris's La Défense business district,"may not have a specific entrepreneurship module, but associate professor Catherine Demangeot says",référence géographique/type lieu,localisation/économie,neutre,pris en charge,économie,présent,neutre,cité,
1916,"                As a posse of Total managers heads for the lifts, Patrick Pouyanné peels away to his office at the top of the French oil major's imposing towerat ",La Défense,", in the heart of Paris's business district.                  ",norme,NA,NA,NA,événement,présent,neutre,pris en charge,
1917,"                As a posse of Total managers heads for the lifts, Patrick Pouyanné peels away to his office at the top of the French oil major's imposing towerat La Défense, in the heart of ",Paris's business district,,référence géographique/type lieu,localisation,neutre,pris en charge,événement,présent,neutre,pris en charge,
1918,"Overlookingthe Bois de Boulogne in the 16th Arrondissement, a 15-minute drive from",La Défense business district, and 35 minutes from Charles de Gaulle international airport.                  ,type lieu,économie,neutre,pris en charge,NA,NA,NA,NA,
1919,"-Est, IFSTTAU MAST/FM2D. 14-20 Boulevard Newton, Cite Descartes, Champs sur Marne, F-77447Marne-La-Vallee Cedex 2, France                  (b) Ministry of Ecology, Sustainable Development and Energy, MEEM/CCDD/DR1/AST3, F-92055 ",La Defense," Cedex, France 		 (c) Ministry of Ecology, Sustainable Development and Energy, MEEM/DCALN/DHUP/QC2, F-92055 La Defense Cedex, France 		 * Corresponding author at: Ministry of Ecology, Sustainable Development and Energy, MEEM/CGDD/DR1/AST3, F-92055 La Defense Cedex.",norme,NA,NA,NA,NA,NA,NA,NA,
1920,"-Est, IFSTTAU MAST/FM2D. 14-20 Boulevard Newton, Cite Descartes, Champs sur Marne, F-77447Marne-La-Vallee Cedex 2, France 		 (b) Ministry of Ecology, Sustainable Development and Energy, MEEM/CCDD/DR1/AST3, F-92055 La Defense Cedex, France 		 (c) Ministry of Ecology, Sustainable Development and Energy, MEEM/DCALN/DHUP/QC2, F-92055 ",La Defense," Cedex, France 		 * Corresponding author at: Ministry of Ecology, Sustainable Development and Energy, MEEM/CGDD/DR1/AST3, F-92055 La Defense Cedex.",norme,NA,NA,NA,NA,NA,NA,NA,
1921,"-Est, IFSTTAU MAST/FM2D. 14-20 Boulevard Newton, Cite Descartes, Champs sur Marne, F-77447Marne-La-Vallee Cedex 2, France 		 (b) Ministry of Ecology, Sustainable Development and Energy, MEEM/CCDD/DR1/AST3, F-92055 La Defense Cedex, France 		 (c) Ministry of Ecology, Sustainable Development and Energy, MEEM/DCALN/DHUP/QC2, F-92055 La Defense Cedex, France 		 * Corresponding author at: Ministry of Ecology, Sustainable Development and Energy, MEEM/CGDD/DR1/AST3, F-92055 ",La Defense,Cedex.,norme,NA,NA,NA,NA,NA,NA,NA,
1922,", UMR-CNRS 6183, Ecole Centrale de Nantes, 1 rue de la Noe, 44321 Nantes, France                  (b)Association Technique de 1'Industrie des Liants Hydrauliques (ATILH), 7 place de ",la Defense,", 92974",norme,NA,NA,NA,NA,NA,NA,NA,
1923,"Association Technique de 1'Industrie des Liants Hydrauliques (ATILH), 7 place de la Defense, 92974",Paris La defense,", France                  * Corresponding author.                  ",référence géographique,localisation,neutre,pris en charge,NA,NA,NA,NA,
1924,Try the Frogs!Choose,Paris La Defense,""" are being put up at London's Heathrow",référence géographique,localisation,neutre,pris en charge,économie,présent,neutre,pris en charge,
1925,"the London trainstation of the Eurostar, showcasing",the French capital's business district,.                ,référence géographique/type lieu,localisation/économie,neutre,pris en charge,économie,présent,neutre,pris en charge,
1926,Officials from,La Defense business district,"said the adverts were aimed at underscoring the attractiveness of the French capital's financial powerhouse, which it said",type lieu,économie,neutre,pris en charge,économie,présent,neutre,pris en charge,
1927,Officials fromLa Defense business district said the adverts were aimed at underscoring the attractiveness of,the French capital's financial powerhouse,", which it said",référence géographique/type lieu,localisation/économie,neutre,pris en charge,économie,présent,neutre,pris en charge,
1928,"As regrettable as Britain's exit from the European Union may be, we have to be pragmatic and promoteour own assets,"" Patrick Devedjian, head of the elected council representing ",the Hauts-de-Seine district,where,référence géographique/type lieu,localisation,neutre,pris en charge,administration,présent,positif,cité,
1929,"our own assets,"" Patrick Devedjian, head of the elected council representing the Hauts-de-Seine district where",La Defense," is located, said in a statement.                  ",norme,NA,NA,NA,administration,présent,positif,cité,
1930,involved in managing,La Defense,", said the campaign aimed to roll out ""the blue, white and red carpet for thousands of professionals now seeking new European headquarters.",norme,NA,NA,NA,économie,présent,neutre,cité ,
1931,France - Woman suicide bomber blows herselfup and another militant dies in police raid that sources say foils jihadi plan to hit,Paris's business district,", La Defense, days after attacks that kill 129 across French capital.",référence géographique/type lieu,localisation/économie,neutre,pris en charge,événement,présent,neutre,pris en charge,
1932,"France - Woman suicide bomber blows herselfup and another militant dies in police raid that sources say foils jihadi plan to hit Paris's business district,",La Defense,", days after attacks that kill 129 across French capital.",norme,NA,NA,NA,événement,présent,neutre,pris en charge,
1933,had planned attackon,Paris business district,,référence géographique/type lieu,localisation/économie,neutre,pris en charge,événement,passé,neutre,pris en charge,
1934,militants flushed out of Paris suburb by police in shootout were planning to attack,French capital's La Defense business district,", three",référence géographique/type lieu,localisation/économie,neutre,pris en charge,événement,passé,neutre,pris en charge,
1935,Abaaoud andanother man were believed to be preparing a suicide bomb attack on,the La Defense business district,in the west of Paris on Nov.,type lieu,économie,neutre,pris en charge,événement,passé,neutre,pris en charge,
1936,"18 police raid, take 5,000 eurosto buy suits and shoes for him and another man to enter",the La Defense business district,unnoticed.,type lieu,économie,neutre,pris en charge,événement,présent,neutre,pris en charge,
1937,had planned attackon,Paris business district,,référence géographique/type lieu,localisation/économie,neutre,pris en charge,événement,passé,neutre,pris en charge,
1938,- Suspected Islamist militants uncovered in a Paris suburb by police were planning an attack on,the French capital's La Defense business district,", a source close to the investigation and two police sources said on Wednesday. 		 ",référence géographique/type lieu,localisation/économie,neutre,pris en charge,événement,passé,neutre,cité,
1939,"the source close to the investigation.                  ""This new team was planning an attack on ",La Defense,.,norme,NA,NA,NA,événement,passé,neutre,cité,
1940,Abaaoud andanother man were believed to be preparing a suicide bomb attack on,the La Defense business district,in the west of Paris on Nov.,type lieu,économie,neutre,pris en charge,événement,passé,neutre,pris en charge,
1941,"18 police raid, take 5,000 eurosto buy suits and shoes for him and another man to enter",the La Defense business district,unnoticed.,type lieu,économie,neutre,pris en charge,événement,présent,neutre,pris en charge,
1942,Investigators seeking alleged mastermind of Paris attacks                  * Group wereplanning to attack ,business district, -sources 		 ,type lieu,économie,neutre,pris en charge,événement,présent,neutre,pris en charge,
1943,sources saidhad foiled a jihadi plan to hit,Paris's business district,", La Defense, days after attacks that killed 129 across the French capital.                  ",référence géographique/type lieu,localisation/économie,neutre,pris en charge,événement,présent,neutre,cité,
1944,"had foiled a jihadi plan to hit Paris's business district,",La Defense,", days after attacks that killed 129 across the French capital.                  ",norme,NA,NA,NA,événement,présent,neutre,pris en charge,
1945,"Reuters that the St. Denis cell was planning a fresh attack.""This new team was planning an attack on ",La Defense,","" one source said, referring to a high-rise neighbourhood on the outskirts of Paris that is home to top banks and businesses.                  ",norme,NA,NA,NA,événement,présent,neutre,pris en charge,
1946,Abaaoud andanother man were believed to be preparing a suicide bomb attack on,the La Defense business district,in the west of Paris on Nov.,type lieu,économie,neutre,pris en charge,événement,passé,neutre,pris en charge,
1947,"18 police raid, take 5,000 eurosto buy suits and shoes for him and another man to enter",the La Defense business district,unnoticed.,type lieu,économie,neutre,pris en charge,événement,présent,neutre,pris en charge,
1948,"he would give Boulahecen 5,000 euros ($5,289.50)to buy two suits and two pairs of shoes for him and an unidentified accomplice to ""look the part"" in a planned attack on ",Paris' commercial district La Defense,. 		 ,référence géographique/type lieu,localisation/économie,neutre,pris en charge,événement,présent,neutre,pris en charge,
1949,had been plotting to attack,La Defense,on Nov.,norme,NA,NA,NA,événement,passé,neutre,pris en charge,
1950,Abaaoud andanother man were believed to be preparing a suicide bomb attack on,the La Defense business district,in the west of Paris on Nov.,type lieu,économie,neutre,pris en charge,événement,passé,neutre,pris en charge,
1951,"18 police raid, take 5,000 eurosto buy suits and shoes for him and another man to enter",the La Defense business district,unnoticed.,type lieu,économie,neutre,pris en charge,événement,présent,neutre,pris en charge,
1952,"the Office said.                  ""The situation is improving, a return to normal is underway this week,"" Macron said during a visit to the ",La Defense business district to the west of Paris,,référence géographique/type lieu,localisation/économie,neutre,pris en charge,événement,présent,neutre,pris en charge,
1953,"Francois Molins confirmed on Tuesday that attack ringleader Abdelhamid Abaaoud, killed in a police raid last week,was believed to be preparing a suicide bomb attack in",La Defense,on Nov.,norme,NA,NA,NA,événement,passé,neutre,pris en charge,
1954,Abaaoud andanother man were believed to be preparing a suicide bomb attack on,the La Defense business district,in the west of Paris on Nov.,type lieu,économie,neutre,pris en charge,événement,passé,neutre,pris en charge,
1955,"18 police raid, take 5,000 eurosto buy suits and shoes for him and another man to enter",the La Defense business district,unnoticed.,type lieu,économie,neutre,pris en charge,événement,présent,neutre,pris en charge,
1956,", UMR-CNRS 6183, Ecole Centrale de Nantes, 1 rue de la Noe, 44321 Nantes, France                  (b)Association Technique de lIndustrie des Liants Hydrauliques (ATILH), 7 place de ",la Defense,", 92974",norme,NA,NA,NA,NA,NA,NA,NA,
1957,"Association Technique de lIndustrie des Liants Hydrauliques (ATILH), 7 place de la Defense, 92974",Paris La Defense,", France 		 * Corresponding author.",référence géographique,localisation,neutre,pris en charge,NA,NA,NA,NA,
1958,"The study objectives are to present the Cloud Encryption Service development in United States, Europe and China.                  The key players covered in this study                  Thales e-Security ",(La Defense,", France)                  Gemalto N.V. (Amsterdam, Netherlands)                  Sophos",norme,NA,NA,NA,économie,présent,neutre,pris en charge,
1959,Players Profiles 		 12.1 Thales e-Security ,(La Defense,", France)                  12.1.1 Thales e-Security (La Defense, France) Company Details                  12.1.2",norme,NA,NA,NA,économie,présent,neutre,pris en charge,
1960,"Players Profiles 		 12.1 Thales e-Security (La Defense, France) 		 12.1.1 Thales e-Security ","(La Defense, France)", Company Details                  12.1.2,référence géographique,localisation,neutre,pris en charge,économie,présent,neutre,pris en charge,
1961,12.1.4 Thalese-Security,"(La Defense, France)", Revenue in Cloud Encryption Service Business (2013-2018)                  12.1.5 Thales,référence géographique,localisation,neutre,pris en charge,économie,présent,neutre,pris en charge,
1962,"e-Security (La Defense, France) Revenue in Cloud Encryption Service Business (2013-2018)                  12.1.5 Thalese-Security ",(La Defense,", France) Recent",norme,NA,NA,NA,économie,présent,neutre,pris en charge,
